Time,600 GAL WATER HEATER - 600 KBTU/HR: Water Heater Heating Rate (W) - Hourly,COIL HEATING GAS 1: Heating Coil NaturalGas Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Total Cooling Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Total Cooling Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Total Cooling Rate (W) - Hourly
06 Jan 14:00,0,0,173.22369664015287,0,0
06 Jan 15:00,0,0,173.64763502038636,0,0
06 Jan 16:00,0,0,175.5753649337661,0,0
06 Jan 17:00,0,0,178.32551077825374,0,0
06 Jan 18:00,0,0,379.14678247924166,0,0
06 Jan 19:00,0,0,213.21517038946376,0,0
06 Jan 20:00,0,0,354.5042084741706,0,0
06 Jan 21:00,0,6531.617739672285,0,0,0
06 Jan 22:00,0,6482.174613494703,0,0,0
06 Jan 23:00,0,6572.639598273268,0,0,0
07 Jan 00:00,0,6768.806515211068,0,0,0
07 Jan 01:00,0,6961.435755925744,0,0,0
07 Jan 02:00,0,7145.674429815575,0,0,0
07 Jan 03:00,0,7341.908530358692,0,0,0
07 Jan 04:00,0,7534.69544300562,0,0,0
07 Jan 05:00,8085.998031821505,7599.529229152267,0,0,0
07 Jan 06:00,0,7590.998068544796,0,0,0
07 Jan 07:00,0,7579.048380579184,0,0,0
07 Jan 08:00,1799.371633412905,7391.4410060750015,0,0,0
07 Jan 09:00,16195.74013086952,0,122.46080367339154,0,0
07 Jan 10:00,12560.28073740622,0,128.6494607752951,0,0
07 Jan 11:00,17920.324602720273,0,93.66685118778878,0,0
07 Jan 12:00,18861.06360692956,0,142.93646778345732,0,0
07 Jan 13:00,5397.1858787083265,0,188.09808573364504,0,0
07 Jan 14:00,0,0,177.86655833696398,0,0
07 Jan 15:00,0,0,177.13821164915137,0,0
07 Jan 16:00,0,0,177.9614800915637,0,0
07 Jan 17:00,0,0,181.35164884548195,0,0
07 Jan 18:00,0,0,409.1125101285202,0,0
07 Jan 19:00,863.3844489450836,0,267.3628580742731,0,0
07 Jan 20:00,0,0,340.9941429797315,0,0
07 Jan 21:00,0,6599.739611701628,0,0,0
07 Jan 22:00,0,6620.195420992978,0,0,0
07 Jan 23:00,0,6640.6461423433075,0,0,0
08 Jan 00:00,0,6661.1046562467745,0,0,0
08 Jan 01:00,0,6681.561395183559,0,0,0
08 Jan 02:00,0,6702.020455090226,0,0,0
08 Jan 03:00,0,6734.416058876167,0,0,0
08 Jan 04:00,0,6763.402769702287,0,0,0
08 Jan 05:00,8086.1067255417875,6819.684407432629,0,0,0
08 Jan 06:00,0,6889.611116266143,0,0,0
08 Jan 07:00,0,6962.9465898525705,0,0,0
08 Jan 08:00,16137.736549175976,6985.120674113124,0,0,0
08 Jan 09:00,15544.701139156285,0,156.27984298302803,0,0
08 Jan 10:00,13151.663091416785,0,133.56081820233013,0,0
08 Jan 11:00,17957.84445414858,0,92.5983788805787,0,0
08 Jan 12:00,18823.251636501333,0,149.95954952679938,0,0
08 Jan 13:00,5396.487854938589,0,201.21825362742672,0,0
08 Jan 14:00,0,0,191.49283317147197,0,0
08 Jan 15:00,0,0,191.91824500785216,0,0
08 Jan 16:00,0,0,192.9305304052082,0,0
08 Jan 17:00,0,0,196.12550265532687,0,0
08 Jan 18:00,0,0,420.4112664308222,0,0
08 Jan 19:00,0,0,273.4787612068871,0,0
08 Jan 20:00,0,0,386.30633150309126,0,0
08 Jan 21:00,0,6622.096247073207,0,0,0
08 Jan 22:00,0,6528.299766380766,0,0,0
08 Jan 23:00,0,6437.9753369418395,0,0,0
09 Jan 00:00,0,6356.222458691314,0,0,0
09 Jan 01:00,0,6274.406490701964,0,0,0
09 Jan 02:00,0,6192.698330470128,0,0,0
09 Jan 03:00,0,6110.969530609124,0,0,0
09 Jan 04:00,0,6029.2882907914345,0,0,0
09 Jan 05:00,8085.994005464726,5935.754254958337,0,0,0
09 Jan 06:00,0,5833.710688378181,0,0,0
09 Jan 07:00,0,5731.572705380652,0,0,0
09 Jan 08:00,0,5605.626068220333,0,0,0
09 Jan 09:00,13421.680735329353,0,130.65427984898258,0,0
09 Jan 10:00,17918.88983510977,0,145.12756770704118,0,0
09 Jan 11:00,17995.21563516928,0,114.53505383067557,0,0
09 Jan 12:00,18821.58036763305,0,174.781861985452,0,0
09 Jan 13:00,0,0,212.16933586516902,0,0
09 Jan 14:00,0,0,211.32754293842598,0,0
09 Jan 15:00,0,0,211.29498911589255,0,0
09 Jan 16:00,0,0,211.9977218174322,0,0
09 Jan 17:00,0,0,212.7029157603637,0,0
09 Jan 18:00,0,0,425.7942637842491,0,0
09 Jan 19:00,0,0,326.06530784584885,0,0
09 Jan 20:00,0,0,392.0512157898061,0,0
09 Jan 21:00,0,5831.296592464859,0,0,0
09 Jan 22:00,0,6076.732781397676,0,0,0
09 Jan 23:00,0,6155.129980167757,0,0,0
10 Jan 00:00,0,6126.1606129902575,0,0,0
10 Jan 01:00,0,6093.779687570812,0,0,0
10 Jan 02:00,0,5945.373444944711,0,0,0
10 Jan 03:00,0,5720.306698910033,0,0,0
10 Jan 04:00,0,5495.0762647635165,0,0,0
10 Jan 05:00,8086.1017503905705,5412.957895308739,0,0,0
10 Jan 06:00,0,5433.204317254826,0,0,0
10 Jan 07:00,0,5453.4500150765225,0,0,0
10 Jan 08:00,16137.462712316707,5437.8892512271,0,0,0
10 Jan 09:00,16439.159308944098,0,168.56509181864183,0,0
10 Jan 10:00,13157.472317029598,0,139.6033427904776,0,0
10 Jan 11:00,17957.844196360104,0,108.20135814283144,0,0
10 Jan 12:00,18823.251485969635,0,175.27324441163486,0,0
10 Jan 13:00,5396.487791594,0,216.4639598556887,0,0
10 Jan 14:00,0,0,215.26233218263246,0,0
10 Jan 15:00,0,0,216.2712600550556,0,0
10 Jan 16:00,0,0,217.06795537619166,0,0
10 Jan 17:00,0,0,218.0561139080353,0,0
10 Jan 18:00,0,0,433.29074538178884,0,0
10 Jan 19:00,2670.9696179407456,0,305.2618419724476,0,0
10 Jan 20:00,0,0,393.7979763534202,0,0
10 Jan 21:00,0,5198.884399787796,0,0,0
10 Jan 22:00,0,5210.808945596764,0,0,0
10 Jan 23:00,0,5231.106711311998,0,0,0
11 Jan 00:00,0,5263.229086974048,0,0,0
11 Jan 01:00,0,5291.946313589158,0,0,0
11 Jan 02:00,0,5383.715449472057,0,0,0
11 Jan 03:00,0,5514.684126462503,0,0,0
11 Jan 04:00,0,5649.072591535009,0,0,0
11 Jan 05:00,8086.103368105549,5708.732660621405,0,0,0
11 Jan 06:00,0,5720.862995136885,0,0,0
11 Jan 07:00,0,5729.573103873819,0,0,0
11 Jan 08:00,3598.7259115663096,5645.317343113929,0,0,0
11 Jan 09:00,14381.89526841074,5512.734478585763,0,0,0
11 Jan 10:00,18860.248028889502,5378.767000782421,0,0,0
11 Jan 11:00,17947.451813891803,5426.154035696243,0,0,0
11 Jan 12:00,11659.500620240773,5598.3951917051045,0,0,0
11 Jan 13:00,6299.741489200943,5775.542718169262,0,0,0
11 Jan 14:00,0,5804.819792760686,0,0,0
11 Jan 15:00,0,5710.501476056834,0,0,0
11 Jan 16:00,0,5619.5578917650755,0,0,0
11 Jan 17:00,0,5645.100215495335,0,0,0
11 Jan 18:00,0,5747.6486672466335,0,0,0
11 Jan 19:00,0,5850.207807166374,0,0,0
